train_loss,test_loss,train_accuracy,test_accuracy
0,0.5955451953175821,0.473257471786605,0.8635690789473685,0.8628472222222222
1,0.3065777321199053,0.17831762759014963,0.9169407894736842,0.940625
2,0.20693205979309584,0.15671751466062334,0.9425164473684211,0.95625
3,0.1470989620901252,0.22733617294062342,0.9592927631578947,0.9364583333333333
4,0.12757375894947665,0.19907150434123144,0.9653782894736842,0.9371527777777777
5,0.12222612069821671,0.11367736850451264,0.9651315789473685,0.9697916666666667
6,0.09232106760609896,0.1014080492934833,0.9736019736842105,0.9704861111111112
7,0.09315841492682107,0.13323329514306453,0.9734375,0.9600694444444444
8,0.14434518774260618,0.10632067698881859,0.959703947368421,0.9666666666666667
9,0.11818041380396799,0.11073252492998209,0.9671052631578947,0.9677083333333333
